Timestamp,Mode,Latitude,Longitude,Altitude GPS (m),Altitude Pressure (m),Pressure (Pa),GPS Valid,Pressure Valid,Accel X (g),Accel Y (g),Accel Z (g),Gyro X (deg/s),Gyro Y (deg/s),Gyro Z (deg/s),Mag X (µT),Mag Y (µT),Mag Z (µT),IMU Temp (°C),IMU Valid,Bus Voltage (V),Current (mA),Power (mW),Power Valid,RSSI (dBm)
508719,2,27.375961,-82.456406,7.3,218.05,987.33,false,true,0.025,-0.011,0.906,13.84,-10.82,1.98,0,0,0,27.5,true,4.611,-8.75,40,true,0
508756,2,27.375961,-82.456406,7.3,217.67,987.38,false,true,0.021,-0.009,0.905,13.89,-10.82,1.98,0,0,0,27.5,true,5.154,-7.5,40,true,0
508793,2,27.375961,-82.456406,7.3,217.56,987.39,false,true,0.024,-0.01,0.913,13.86,-10.85,2.1,0,0,0,27.5,true,5.186,-7.5,40,true,0
508904,2,27.375961,-82.456406,7.3,218.61,987.27,false,true,0.021,-0.013,0.91,13.94,-10.78,2.05,0,0,0,27.5,true,4.557,-7.5,40,true,0
508941,2,27.375961,-82.456406,7.3,218.12,987.32,false,true,0.023,-0.01,0.901,13.89,-10.85,1.92,0,0,0,27.5,true,4.412,-6.25,30,true,0
508978,2,27.375961,-82.456406,7.3,217.39,987.41,false,true,0.021,-0.01,0.904,13.8,-10.84,1.82,0,0,0,27.5,true,4.412,-7.5,40,true,0
509015,2,27.375961,-82.456406,7.3,217.57,987.39,false,true,0.03,-0.013,0.907,13.8,-10.89,1.85,0,0,0,27.5,true,4.41,-6.25,30,true,0
509052,2,27.375961,-82.456406,7.3,217.25,987.43,false,true,0.021,-0.01,0.905,13.84,-10.95,1.92,0,0,0,27.5,true,5.162,-8.75,50,true,0
509089,2,27.375961,-82.456406,7.3,217.38,987.41,false,true,0.021,-0.008,0.907,13.83,-10.9,1.89,0,0,0,27.5,true,5.195,-8.75,40,true,0
509200,2,27.375961,-82.456406,7.3,217.46,987.4,false,true,0.023,-0.01,0.903,13.79,-10.86,1.82,0,0,0,27.5,true,4.786,-5,30,true,0
509237,2,27.375961,-82.456406,7.3,217.17,987.44,false,true,0.023,-0.016,0.906,13.87,-10.93,1.95,0,0,0,27.5,true,4.624,-7.5,40,true,0
509274,2,27.375961,-82.456406,7.3,213.54,987.86,false,true,0.024,-0.01,0.91,13.98,-10.92,1.94,0,0,0,27.5,true,4.62,-6.25,30,true,0
509311,2,27.375961,-82.456406,7.3,217.8,987.36,false,true,0.022,-0.009,0.906,13.78,-10.85,2.01,0,0,0,27.5,true,4.615,-7.5,40,true,0
509348,2,27.375961,-82.456406,7.3,217.97,987.34,false,true,0.025,-0.01,0.906,13.91,-10.89,1.96,0,0,0,27.5,true,5.153,-6.25,40,true,0
509385,2,27.375961,-82.456406,7.3,217.05,987.45,false,true,0.023,-0.01,0.913,13.83,-10.89,1.86,0,0,0,27.5,true,5.191,-7.5,40,true,0
509496,2,27.375961,-82.456406,7.3,217.73,987.37,false,true,0.022,-0.014,0.913,13.89,-10.82,1.94,0,0,0,27.5,true,4.545,-6.25,30,true,0
509533,2,27.375961,-82.456406,7.3,217.9,987.35,false,true,0.023,-0.007,0.911,13.84,-10.92,2.02,0,0,0,27.5,true,4.409,-7.5,40,true,0
509570,2,27.375961,-82.456406,7.3,217.73,987.37,false,true,0.023,-0.011,0.91,13.86,-10.82,1.89,0,0,0,27.5,true,4.409,-6.25,40,true,0
509607,2,27.375961,-82.456406,7.3,218.26,987.31,false,true,0.025,-0.011,0.91,13.8,-10.89,1.98,0,0,0,27.5,true,4.411,-7.5,40,true,0
509644,2,27.375961,-82.456406,7.3,217.84,987.36,false,true,0.025,-0.012,0.909,13.88,-10.83,2.02,0,0,0,27.5,true,5.157,-6.25,40,true,0
509681,2,27.375961,-82.456406,7.3,217.89,987.35,false,true,0.024,-0.015,0.909,13.91,-10.89,1.97,0,0,0,27.5,true,5.191,-7.5,40,true,0
509792,2,27.375961,-82.456406,7.3,217.7,987.37,false,true,0.027,-0.01,0.906,13.9,-10.89,1.91,0,0,0,27.5,true,4.786,-6.25,30,true,0
509829,2,27.375961,-82.456406,7.3,217.21,987.43,false,true,0.021,-0.01,0.905,13.78,-10.82,1.96,0,0,0,27.5,true,4.62,-7.5,40,true,0
509866,2,27.375961,-82.456406,7.3,215.99,987.58,false,true,0.026,-0.01,0.904,13.87,-10.83,1.88,0,0,0,27.5,true,4.611,-6.25,30,true,0
509903,2,27.375961,-82.456406,7.3,217.33,987.42,false,true,0.024,-0.01,0.913,13.83,-10.79,1.92,0,0,0,27.5,true,4.613,-7.5,40,true,0
