Timestamp,Mode,Latitude,Longitude,Altitude GPS (m),Altitude Pressure (m),Pressure (Pa),GPS Valid,Pressure Valid,Accel X (g),Accel Y (g),Accel Z (g),Gyro X (deg/s),Gyro Y (deg/s),Gyro Z (deg/s),Mag X (µT),Mag Y (µT),Mag Z (µT),IMU Temp (°C),IMU Valid,Bus Voltage (V),Current (mA),Power (mW),Power Valid,RSSI (dBm)
38159,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,false,0,0,0,false,0
40160,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,false,0,0,0,false,0
42161,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,false,0,0,0,false,0
44162,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,false,0,0,0,false,0
74093,2,0,0,0,218.21,987.31,false,true,0.022,-0.011,0.913,13.89,-10.75,1.95,0,0,0,27,true,5.162,-7.5,40,true,0
74093,2,0,0,0,218.21,987.31,false,true,0.022,-0.011,0.913,13.89,-10.75,1.95,0,0,0,27,true,5.162,-7.5,40,true,0
74131,2,0,0,0,217.54,987.39,false,true,0.023,-0.01,0.91,13.81,-10.8,1.89,0,0,0,26.9,true,5.166,-6.25,40,true,0
74093,2,0,0,0,218.21,987.31,false,true,0.022,-0.011,0.913,13.89,-10.75,1.95,0,0,0,27,true,5.162,-7.5,40,true,0
74131,2,0,0,0,217.54,987.39,false,true,0.023,-0.01,0.91,13.81,-10.8,1.89,0,0,0,26.9,true,5.166,-6.25,40,true,0
74159,2,0,0,0,218.13,987.32,false,true,0.026,-0.011,0.908,13.85,-10.85,1.89,0,0,0,26.9,true,5.175,-6.25,40,true,0
74196,2,0,0,0,217.46,987.4,false,true,0.026,-0.011,0.907,13.87,-10.83,1.8,0,0,0,26.9,true,5.176,-6.25,40,true,0
74233,2,0,0,0,217.58,987.39,false,true,0.025,-0.011,0.914,13.79,-10.82,1.85,0,0,0,26.9,true,5.182,-7.5,40,true,0
74270,2,0,0,0,216.54,987.51,false,true,0.024,-0.01,0.911,13.7,-10.78,1.87,0,0,0,27,true,5.179,-8.75,50,true,0
74093,2,0,0,0,218.21,987.31,false,true,0.022,-0.011,0.913,13.89,-10.75,1.95,0,0,0,27,true,5.162,-7.5,40,true,0
74131,2,0,0,0,217.54,987.39,false,true,0.023,-0.01,0.91,13.81,-10.8,1.89,0,0,0,26.9,true,5.166,-6.25,40,true,0
74159,2,0,0,0,218.13,987.32,false,true,0.026,-0.011,0.908,13.85,-10.85,1.89,0,0,0,26.9,true,5.175,-6.25,40,true,0
74196,2,0,0,0,217.46,987.4,false,true,0.026,-0.011,0.907,13.87,-10.83,1.8,0,0,0,26.9,true,5.176,-6.25,40,true,0
74233,2,0,0,0,217.58,987.39,false,true,0.025,-0.011,0.914,13.79,-10.82,1.85,0,0,0,26.9,true,5.182,-7.5,40,true,0
74093,2,0,0,0,218.21,987.31,false,true,0.022,-0.011,0.913,13.89,-10.75,1.95,0,0,0,27,true,5.162,-7.5,40,true,0
74131,2,0,0,0,217.54,987.39,false,true,0.023,-0.01,0.91,13.81,-10.8,1.89,0,0,0,26.9,true,5.166,-6.25,40,true,0
74159,2,0,0,0,218.13,987.32,false,true,0.026,-0.011,0.908,13.85,-10.85,1.89,0,0,0,26.9,true,5.175,-6.25,40,true,0
74093,2,0,0,0,218.21,987.31,false,true,0.022,-0.011,0.913,13.89,-10.75,1.95,0,0,0,27,true,5.162,-7.5,40,true,0
74131,2,0,0,0,217.54,987.39,false,true,0.023,-0.01,0.91,13.81,-10.8,1.89,0,0,0,26.9,true,5.166,-6.25,40,true,0
74159,2,0,0,0,218.13,987.32,false,true,0.026,-0.011,0.908,13.85,-10.85,1.89,0,0,0,26.9,true,5.175,-6.25,40,true,0
74196,2,0,0,0,217.46,987.4,false,true,0.026,-0.011,0.907,13.87,-10.83,1.8,0,0,0,26.9,true,5.176,-6.25,40,true,0
74307,2,0,0,0,217.5,987.4,false,true,0.023,-0.01,0.912,13.85,-10.85,1.94,0,0,0,27,true,5.177,-7.5,40,true,0
74418,2,0,0,0,217.59,987.39,false,true,0.029,-0.008,0.914,13.73,-10.82,1.77,0,0,0,26.9,true,4.649,-6.25,30,true,0
74455,2,0,0,0,217.19,987.43,false,true,0.022,-0.01,0.906,13.72,-10.69,1.92,0,0,0,26.9,true,4.39,-5,30,true,0
74492,2,0,0,0,217.99,987.34,false,true,0.023,-0.012,0.911,13.78,-10.76,1.86,0,0,0,26.9,true,4.383,-7.5,40,true,0
74529,2,0,0,0,217.84,987.36,false,true,0.029,-0.012,0.913,13.81,-10.75,1.83,0,0,0,26.9,true,4.391,-7.5,40,true,0
74566,2,0,0,0,217.56,987.39,false,true,0.024,-0.011,0.909,13.81,-10.79,1.9,0,0,0,26.9,true,5.116,-6.25,30,true,0
74603,2,0,0,0,217.71,987.37,false,true,0.025,-0.011,0.914,13.85,-10.77,1.91,0,0,0,27,true,5.17,-6.25,40,true,0
74715,2,0,0,0,217.48,987.4,false,true,0.03,-0.01,0.911,13.89,-10.85,1.86,0,0,0,26.9,true,4.852,-6.25,30,true,0
74752,2,0,0,0,217.51,987.4,false,true,0.024,-0.01,0.917,13.8,-10.85,1.9,0,0,0,27,true,4.613,-6.25,30,true,0
74789,2,0,0,0,217.42,987.41,false,true,0.025,-0.006,0.907,13.82,-10.79,1.97,0,0,0,26.9,true,4.605,-7.5,40,true,0
74826,2,0,0,0,214.92,987.7,false,true,0.03,-0.009,0.907,13.71,-10.83,2.04,0,0,0,26.9,true,4.602,-6.25,30,true,0
74863,2,0,0,0,217.52,987.39,false,true,0.026,-0.011,0.912,13.82,-10.86,1.85,0,0,0,26.9,true,5.119,-7.5,40,true,0
74900,2,0,0,0,217.69,987.37,false,true,0.024,-0.013,0.914,13.82,-10.87,2.02,0,0,0,26.9,true,5.18,-7.5,40,true,0
75011,2,0,0,0,217.45,987.4,false,true,0.024,-0.013,0.911,13.91,-10.99,1.95,0,0,0,26.9,true,4.63,-6.25,30,true,0
