Timestamp,Mode,Latitude,Longitude,Altitude GPS (m),Altitude Pressure (m),Pressure (Pa),GPS Valid,Pressure Valid,Accel X (g),Accel Y (g),Accel Z (g),Gyro X (deg/s),Gyro Y (deg/s),Gyro Z (deg/s),Mag X (µT),Mag Y (µT),Mag Z (µT),IMU Temp (°C),IMU Valid,Bus Voltage (V),Current (mA),Power (mW),Power Valid,RSSI (dBm)
218241,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,false,0,0,0,false,0
220242,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,false,0,0,0,false,0
4474,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,false,5.168,-6.25,40,true,0
6466,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,false,5.156,-7.5,40,true,0
8469,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,false,5.155,-7.5,40,true,0
10472,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,false,5.164,-6.25,40,true,0
12475,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,false,5.169,-7.5,40,true,0
42407,2,0,0,0,217.79,987.36,false,true,0.023,-0.012,0.909,13.84,-10.76,1.82,0,0,0,27,true,5.174,-7.5,40,true,0
42407,2,0,0,0,217.79,987.36,false,true,0.023,-0.012,0.909,13.84,-10.76,1.82,0,0,0,27,true,5.174,-7.5,40,true,0
42445,2,0,0,0,218.73,987.25,false,true,0.026,-0.009,0.911,13.92,-10.83,1.78,0,0,0,27,true,5.179,-7.5,40,true,0
42473,2,0,0,0,218.16,987.32,false,true,0.021,-0.009,0.91,13.87,-10.89,1.79,0,0,0,27,true,5.19,-7.5,40,true,0
42407,2,0,0,0,217.79,987.36,false,true,0.023,-0.012,0.909,13.84,-10.76,1.82,0,0,0,27,true,5.174,-7.5,40,true,0
42445,2,0,0,0,218.73,987.25,false,true,0.026,-0.009,0.911,13.92,-10.83,1.78,0,0,0,27,true,5.179,-7.5,40,true,0
42407,2,0,0,0,217.79,987.36,false,true,0.023,-0.012,0.909,13.84,-10.76,1.82,0,0,0,27,true,5.174,-7.5,40,true,0
42445,2,0,0,0,218.73,987.25,false,true,0.026,-0.009,0.911,13.92,-10.83,1.78,0,0,0,27,true,5.179,-7.5,40,true,0
42473,2,0,0,0,218.16,987.32,false,true,0.021,-0.009,0.91,13.87,-10.89,1.79,0,0,0,27,true,5.19,-7.5,40,true,0
42510,2,0,0,0,218.17,987.32,false,true,0.024,-0.009,0.907,13.81,-10.87,1.69,0,0,0,27,true,5.19,-10,40,true,0
42407,2,0,0,0,217.79,987.36,false,true,0.023,-0.012,0.909,13.84,-10.76,1.82,0,0,0,27,true,5.174,-7.5,40,true,0
42445,2,0,0,0,218.73,987.25,false,true,0.026,-0.009,0.911,13.92,-10.83,1.78,0,0,0,27,true,5.179,-7.5,40,true,0
42473,2,0,0,0,218.16,987.32,false,true,0.021,-0.009,0.91,13.87,-10.89,1.79,0,0,0,27,true,5.19,-7.5,40,true,0
42510,2,0,0,0,218.17,987.32,false,true,0.024,-0.009,0.907,13.81,-10.87,1.69,0,0,0,27,true,5.19,-10,40,true,0
42547,2,0,0,0,218.5,987.28,false,true,0.021,-0.011,0.906,13.82,-10.88,1.63,0,0,0,27,true,5.186,-7.5,40,true,0
42584,2,0,0,0,218.35,987.3,false,true,0.024,-0.012,0.917,13.85,-10.77,1.78,0,0,0,27,true,5.191,-7.5,40,true,0
42621,2,0,0,0,218.28,987.31,false,true,0.022,-0.009,0.913,13.91,-10.66,1.83,0,0,0,27,true,5.187,-6.25,40,true,0
