Timestamp,Mode,Latitude,Longitude,Altitude GPS (m),Altitude Pressure (m),Pressure (Pa),GPS Valid,Pressure Valid,Accel X (g),Accel Y (g),Accel Z (g),Gyro X (deg/s),Gyro Y (deg/s),Gyro Z (deg/s),Mag X (µT),Mag Y (µT),Mag Z (µT),IMU Temp (°C),IMU Valid,Bus Voltage (V),Current (mA),Power (mW),Power Valid,RSSI (dBm)
2179367,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,false,0,0,0,false,0
2181368,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,false,0,0,0,false,0
2183369,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,false,0,0,0,false,0
2185370,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,false,0,0,0,false,0
2187371,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,false,0,0,0,false,0
2189372,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,false,0,0,0,false,0
2191373,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,false,0,0,0,false,0
2193374,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,false,0,0,0,false,0
2195375,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,false,0,0,0,false,0
2197376,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,false,0,0,0,false,0
2199377,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,false,0,0,0,false,0
2201378,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,false,0,0,0,false,0
2203379,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,false,0,0,0,false,0
2205380,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,false,0,0,0,false,0
2223219,2,0,0,0,221.03,986.98,false,true,0.023,-0.006,0.912,13.86,-10.69,1.91,0,0,0,26.4,true,5.218,-7.5,40,true,0
2223247,2,0,0,0,220.9,987,false,true,0.024,-0.007,0.912,13.84,-10.82,1.83,0,0,0,26.4,true,5.216,-7.5,40,true,0
2223219,2,0,0,0,221.03,986.98,false,true,0.023,-0.006,0.912,13.86,-10.69,1.91,0,0,0,26.4,true,5.218,-7.5,40,true,0
2223219,2,0,0,0,221.03,986.98,false,true,0.023,-0.006,0.912,13.86,-10.69,1.91,0,0,0,26.4,true,5.218,-7.5,40,true,0
2223247,2,0,0,0,220.9,987,false,true,0.024,-0.007,0.912,13.84,-10.82,1.83,0,0,0,26.4,true,5.216,-7.5,40,true,0
2223284,2,0,0,0,221.49,986.93,false,true,0.023,-0.008,0.911,13.79,-10.77,1.83,0,0,0,26.4,true,5.221,-7.5,40,true,0
